sample,pedestal,weight,temp
T1-01,1,11.149,78.8
T1-02,1,17.035,79.1
T1-03,1,14.191,80.6
T1-04,1,8.461,79.7
T1-05,1,12.295,79.2
T1-06,1,9.524,79.8
T1-07,1,8.947,78.2
T1-08,1,10.427,78.2
T1-09,1,8.539,80.1
T1-10,1,10.335,80.6
T1-11,2,8.583,80.6
T1-12,2,10.971,79.5
T1-13,2,10.179,78.8
T1-14,2,10.453,78.2
T1-15,2,10.106,79.5
P1-01,1,6.614,78.6
P1-02,1,4.87,80.6
P1-03,1,6.134,80.6
P1-04,1,3.83,79.7
P1-05,1,5.756,80.6
P1-06,1,7.878,78.4
P1-07,1,5.121,79.5
P1-08,1,4.925,79.5
P1-09,1,5.974,79.7
P1-10,1,6.681,80.3
P1-11,1,6.663,79.5
P1-12,1,5.233,79.5
P1-13,1,6.855,79.5
P1-14,1,4.834,79.5
P1-15,1,5.096,78.2
T2-01,1,5.038,79.5
T2-02,1,5.933,80.3
T2-03,1,5.596,80.3
T2-04,1,6.649,80.7
T2-05,1,4.7,80.6
T2-06,1,6.009,80.6
T2-07,1,6.697,78.4
T2-08,1,6.955,79.5
T2-09,1,5.328,78.6
T2-10,1,6.523,79.5
T2-11,1,5.867,78.6
T2-12,1,8.828,79.5
T2-13,1,6.676,79.1
T2-14,1,5.935,80.2
T2-15,1,6.03,79.2
P2-01,2,5.853,79.5
P2-02,2,6.937,79.7
P2-03,2,5.396,80.9
P2-04,2,7.254,79.5
P2-05,2,7.731,79.8
P2-06,2,6.81,80.3
P2-07,2,6.5,78.4
P2-08,2,5.54,79.8
P2-09,2,7.919,79.5
P2-10,2,6.548,78.4
P2-11,2,5.731,79.5
P2-12,2,6.366,79.5
P2-13,2,5.743,79.5
P2-14,2,6.247,79.5
P2-15,2,6.278,78.2
